年月,報酬指數,台泥,統一,台塑,南亞,台化,中鋼,和泰車,聯電,台達電,鴻海,國巨,台積電,華碩,瑞昱,廣達,研華,南亞科,友達,中華電,聯發科,長榮,陽明, 萬海,彰銀,華南金,富邦金,國泰金,開發金,玉山金,元大金, 兆豐金,台新金,中信金,第一金,統一超,大立光,聯詠,欣興,台灣大,遠傳,台塑化,南電,豐泰
11-Sep,9993.91,13.78,21.81,49.08,39.71,48.22,19.27,92.05,7.27,50.47,36.29,17.7,50.44,105.72,32.64,31.44,44.86,24.9,8.54,61.43,215.66,26.44,19.93,7.32,8.9,7.77,17.22,18.92,5.6,5.1,8.89,11.51,4.86,7.91,8.45,119.41,563.57,35.43,32.85,47.94,26.77,59.55,65.77,10.49
11-Oct,10497.17,15.86,22.85,53.46,40.67,53.01,19.27,94.19,8.51,49.63,43.69,18.73,53.03,96.34,31.88,31.65,45.41,19.09,9.02,60.82,203.2,28.14,20.85,7.95,9.91,8.32,19.12,19.43,5.84,5.08,9.89,12.59,5.27,8.67,8.6,115.63,535.28,36.92,29.86,50.33,29.1,67.15,69.72,10.95
11-Nov,9551.58,13.64,22.52,47.7,33.06,46.89,18.76,116.67,8.29,45.25,41.8,17.83,53.75,93.6,27.54,31.18,45.47,15.07,9.64,60.28,178.6,24.66,19.18,6.38,8.22,7.37,16.31,16.39,5.18,4.26,8.46,10.51,4.45,7.19,7.34,102.9,379.25,36.33,24.23,56.17,33.54,66.51,53.77,10.89
11-Dec,9783.94,14.66,24.19,48.54,35.99,48.4,18.56,103.82,8.1,50.12,43.48,16.12,54.62,98.63,27.89,33.66,46.18,14.49,8.92,60.52,177.32,25.93,20.18,7.39,8.32,7.02,17.19,17.58,5.2,4.41,8.86,10.89,4.29,8.22,7.58,113.56,444.88,37.61,26.91,55.12,33.48,66.58,48.56,10.98
12-Jan,10399.58,15.46,23.89,51.78,37.43,51.49,18.89,109.18,9.89,53.25,49.98,18.71,56.56,107.1,34.46,33.4,49.38,15.39,10.84,58.22,180.51,28.05,21.69,8.33,8.47,7.22,17.7,18.14,5.33,4.69,9.58,10.94,4.49,8.3,7.75,109.43,499.91,41.68,29.44,52.25,33.54,65.51,55.11,11.08
12-Feb,11235.69,15.82,24.63,55.26,43.24,55.73,19.66,142.36,9.89,56.25,53.76,20.31,58.44,126.32,39.24,38.42,54.56,26.63,10.91,54.71,192.33,34.92,28.53,8.66,9.1,7.5,18.56,18.6,6.04,5.44,9.95,12.34,4.9,8.8,8.05,107.03,517.98,43.61,29.1,52.78,36.31,68.78,58.35,11.71
12-Mar,10975,14.48,22.33,52.2,39.95,52.22,19.43,169.83,9.22,60.22,60.05,18.24,61.17,127.46,33.89,40.85,56.49,19.86,9.36,55.01,180.51,34.41,26.27,8.53,8.52,7.26,17.83,18.06,5.46,5.47,8.8,11.24,4.82,8.16,7.58,112.88,455.89,44.55,27.67,52.49,35.6,65.3,51.01,11.81
12-Apr,10378.34,14.6,24.84,49.86,36.05,51.31,18.72,132.72,9.76,60.42,48.46,17.27,62.54,135.01,39.87,40.58,54.67,15.9,8.99,55.31,161.66,29.15,20.69,7.47,8.19,6.96,16.33,16.61,4.49,5.23,8.03,12.45,4.61,8.21,7.47,108.06,364.71,43.86,25.14,55,37.37,64.52,43.19,11.67
12-May,10103.56,14.14,24.54,46.91,31.38,47.86,18.05,139.5,8.36,57.92,45.89,18.55,61.32,136.85,37.35,41.22,56.21,15.84,8.37,54.59,168.69,24.83,20.6,7.17,7.84,7.05,15.9,15.72,4.55,5.07,7.54,11.18,4.57,7.33,7.45,108.4,443.31,43.91,24.38,55.17,39.07,57.85,38.49,11.65
12-Jun,10106.39,14.81,26.02,47.94,31.98,47.49,18.05,137.72,8.23,63.28,46.89,17.97,58.58,124.26,34.02,41.96,54.34,16.09,8.27,56.89,174.44,27.29,22.27,7.37,7.94,7.07,15.98,15.72,4.27,5.17,7.77,11.78,4.65,7.48,7.4,109.09,485.76,45.3,25.55,57.51,38.07,57.42,39.72,12.11
12-Jul,10325.98,15.45,27.55,52.47,36.44,50.66,18.13,149.4,8.36,73.44,44.37,16.65,60.52,127.46,32.76,41.43,61.58,12.2,6.37,57.84,169.08,27.97,20.52,7.5,8.24,7.3,16.9,16.23,4.27,5.56,8.15,13.12,4.98,8.11,7.81,108.06,483.4,45.72,25.48,60.95,46.45,63.3,37.69,13.38
12-Aug,10610.76,14.41,28.57,51.01,35.07,49.32,17.45,160.55,7.96,73.8,49.74,17.72,62.24,144.36,37.29,43.04,60.13,12.9,6.24,58.16,212.17,27.12,19.93,7.67,8.47,7.48,17.3,16.42,4.31,5.99,8.09,12.79,5.19,8.06,8.02,113.12,504.02,50.37,26.93,68.33,45.35,62.14,39.59,13.31
12-Sep,11072.13,16.07,30.98,52.97,36.62,50.28,18.2,155.72,8.09,82.13,53.97,18.32,67.09,153.78,38.42,43.38,61.87,10.92,7.27,60.35,205.21,26.19,20.35,8.3,8.71,7.65,18.55,18.08,4.4,5.96,8.97,12.82,5.12,8.68,8.39,111.35,491.07,55.33,27.64,65.87,44.55,64.1,39.46,14.78
12-Oct,10284.53,16.58,30.75,50.32,32.08,44.15,17.07,154.61,7.2,72.21,52.03,17.39,66.27,151.12,36.37,37.2,58.4,8.94,7.61,58.87,215.16,25.51,19.02,7.22,8.08,7.14,17.44,16.85,3.96,5.26,7.69,12.06,4.74,7.89,7.67,102.48,503.21,57.42,23.65,62.79,41.42,61.84,27.67,15.06
12-Nov,10878.87,16.85,30.92,48.36,32.01,43.9,18.09,159.81,7.46,75.25,54.67,18.24,73.74,154.74,38.75,40.65,62.74,8.3,8.47,60.35,219.14,28.99,20.44,8.2,8.63,7.65,19.19,17.76,4.3,5.76,8.56,12.91,5.01,8.26,8.21,105.67,642.36,61.07,24.99,64.33,44.73,64.25,28.45,15.24
12-Dec,11050.13,17.22,31.76,49.69,34.88,47.85,18.6,173.19,7.76,77.06,52.15,18.96,72.47,157.64,40.53,38.03,70.83,15.96,8.92,60.73,214.5,29.41,23.19,8.45,8.74,7.81,20.41,18.08,4.61,5.83,8.71,12.82,5.24,8.41,8.18,110.28,629.41,61.33,24.36,65.87,45.53,62.57,29.61,16.02
13-Jan,11266.15,17.66,30.87,50.7,37.37,51.17,18.94,175.05,7.63,77.42,49.51,17.85,75.84,163.19,43.78,38.37,71.41,17.5,8.27,60.41,214.16,31.44,23.77,8.13,8.93,7.93,21.95,18.88,4.95,6.07,9.32,13.7,5.3,8.28,8.32,113.12,625.37,61.33,23.33,64.64,46.15,61.92,30.35,16.48
13-Feb,11334.98,16.85,33.07,47.41,35.44,48.24,18.5,167.99,7.36,79.95,47.93,18.55,78.08,173.81,46.68,35.25,76.32,18.2,8.85,59.25,221.13,32.12,23.44,8.1,9.51,8.07,23.26,21.58,5.36,6.37,8.94,13.87,5.48,8.75,8.74,116.31,647.21,64.72,22.3,63.72,42.21,60.03,28,17.74
13-Mar,11364.58,16.6,33.73,45.45,33.38,43.9,17.72,185.45,7.43,92.26,48.86,19.82,75.09,172.61,45.96,37.03,70.83,24.52,9.05,59.64,226.76,30.34,23.1,8.03,9.73,8.04,24.88,23.5,5.19,6.44,8.85,13.7,5.67,8.85,8.67,117.73,633.46,67.59,24.63,62.49,42.28,56.46,27.05,21.21
13-Apr,11616.3,17.36,34.62,45.26,36.62,44.09,17.69,195.86,7.46,102.39,44.7,19.2,81.81,165.85,56.21,33.97,81.53,41.5,9.29,60.28,238.7,29.24,22.1,8.33,9.24,7.97,24.51,22.79,4.95,6.39,8.74,12.91,5.8,8.93,8.39,129.08,652.07,75.16,24.6,66.18,44.18,58.43,27.87,22.33
13-May,11848.42,17.47,35.27,43.93,38.12,45.05,17.31,258.3,8.76,104.19,44.99,21.07,81.81,159.57,50.32,36.08,85,38.63,9.47,61.38,246.65,28.39,21.35,8.25,9.32,8.16,23.08,22.38,5.39,6.64,9.67,13.67,5.85,9.55,8.39,131.2,787.17,79.6,25.7,67.41,43.93,56.82,34.97,22.58
13-Jun,11584.02,16.34,34.8,45.83,39.36,46.9,16.7,240.09,9.62,98.77,43.41,20.87,82.93,124.57,46.95,36.2,82.68,37.42,7.48,65.55,231.07,27.8,20.77,7.8,9.07,7.81,23.75,23.48,5.11,6.57,9.08,12.91,5.98,9.25,8.21,139.36,776.65,75.95,22.7,72.95,49.46,55.66,32.29,23.13
13-Jul,11870.23,17.07,36.47,50.37,39.24,49.44,17.31,252.38,9.11,109.19,45.64,20.66,78.73,126.5,47.48,38.87,86.54,24.58,7.27,65.12,244.85,28.48,21.27,8.53,9.43,8.11,25.09,25.57,5.27,7.18,9.44,14.21,6.32,10.25,8.6,158.51,841.37,69.16,22.62,70.41,49.01,57.02,30.93,30
13-Aug,11837,18.4,35.23,49.83,37.05,51.5,17.66,225.02,8.39,101.69,47.63,20.48,77.19,124.87,46.57,37.27,90.71,22.54,8.09,64.24,249.61,28.65,21.85,8.61,9.56,8.19,24.44,24.87,5.09,7.6,9.04,13.56,6.48,10.45,8.73,151.72,858.94,68.1,19.95,69.77,48.56,55.49,26.97,31.09
13-Sep,12073.87,19.93,35.62,50.97,39.32,52.09,18.11,244.78,8.63,107.69,49.88,21.42,77.19,123.3,50.64,37.86,98.77,28.73,7.61,64.31,248.59,29.66,22.6,9.01,10.18,8.49,24.38,24.69,5.27,7.68,9.13,14.4,6.86,10.7,8.93,154.99,817.84,67,20.69,67.83,47.28,56.73,31.42,35.09
13-Oct,12484.12,19.91,36.2,53.31,42.36,56.27,17.83,266.07,8.49,114.44,48.96,20.38,84.11,117.8,47.98,41.17,112.5,25.99,6.67,64.24,273.42,29.32,21.77,8.43,10.38,8.75,25.63,27.74,5.43,7.88,9.65,15.29,7.46,11.03,9.18,155.35,821.95,63.72,19.09,64.92,43.3,57.82,32.66,38.11
