Date,name,book_to_market,book_to_market1,book_to_market2
2016,台泥,0.81300813,1.23,1.23
2016,統一,0.309597523,3.23,3.23
2016,台塑,0.502512563,1.99,1.99
2016,南亞,0.555555556,1.8,1.8
2016,台化,0.520833333,1.92,1.92
2016,亞德客-KY,0.227790433,4.39,4.39
2016,中鋼,0.769230769,1.3,1.3
2016,和泰車,0.202020202,4.95,4.95
2016,聯電,1.515151515,0.66,0.66
2016,台達電,0.284900285,3.51,3.51
2016,鴻海,0.680272109,1.47,1.47
2016,國巨,0.769230769,1.3,1.3
2016,台積電,0.272479564,3.67,3.67
2016,華碩,0.900900901,1.11,1.11
2016,瑞昱,0.418410042,2.39,2.39
2016,廣達,0.549450549,1.82,1.82
2016,研華,0.147710487,6.77,6.77
2016,南亞科,0.46728972,2.14,2.14
2016,友達,1.515151515,0.66,0.66
2016,中華電,0.454545455,2.2,2.2
2016,聯發科,0.666666667,1.5,1.5
2016,長榮,1.315789474,0.76,0.76
2016,陽明,1.19047619,0.84,0.84
2016,萬海,0.909090909,1.1,1.1
2016,彰銀,0.884955752,1.13,1.13
2016,華南金,0.917431193,1.09,1.09
2016,富邦金,0.892857143,1.12,1.12
2016,國泰金,0.81300813,1.23,1.23
2016,開發金,1.333333333,0.75,0.75
2016,玉山金,0.793650794,1.26,1.26
2016,元大金,1.408450704,0.71,0.71
2016,兆豐金,0.934579439,1.07,1.07
2016,台新金,1.098901099,0.91,0.91
2016,中信金,0.840336134,1.19,1.19
2016,第一金,0.917431193,1.09,1.09
2016,統一超,0.111731844,8.95,8.95
2016,大立光,0.133333333,7.5,7.5
2016,聯詠,0.411522634,2.43,2.43
2016,欣興,2.173913043,0.46,0.46
2016,台灣大,0.16,6.25,6.25
2016,遠傳,0.29154519,3.43,3.43
2016,中租-KY,0.602409639,1.66,1.66
2016,合庫金,1.176470588,0.85,0.85
2016,矽力*-KY,0.172711572,5.79,5.79
2016,台塑化,0.261096606,3.83,3.83
2016,南電,2.127659574,0.47,0.47
2016,豐泰,0.159235669,6.28,6.28
2017,台泥,0.724637681,1.38,1.38
2017,統一,0.255754476,3.91,3.91
2017,台塑,0.534759358,1.87,1.87
2017,南亞,0.552486188,1.81,1.81
2017,台化,0.568181818,1.76,1.76
2017,亞德客-KY,0.149476831,6.69,6.69
2017,中鋼,0.769230769,1.3,1.3
2017,和泰車,0.228832952,4.37,4.37
2017,聯電,1.19047619,0.84,0.84
2017,台達電,0.324675325,3.08,3.08
2017,鴻海,0.649350649,1.54,1.54
2017,國巨,0.223713647,4.47,4.47
2017,台積電,0.240384615,4.16,4.16
2017,華碩,0.840336134,1.19,1.19
2017,瑞昱,0.389105058,2.57,2.57
2017,廣達,0.540540541,1.85,1.85
2017,研華,0.17699115,5.65,5.65
2017,南亞科,0.5,2,2
2017,友達,1.694915254,0.59,0.59
2017,中華電,0.434782609,2.3,2.3
2017,聯發科,0.552486188,1.81,1.81
2017,長榮,0.862068966,1.16,1.16
2017,陽明,0.64516129,1.55,1.55
2017,萬海,0.793650794,1.26,1.26
2017,彰銀,0.917431193,1.09,1.09
2017,華南金,0.877192982,1.14,1.14
2017,富邦金,0.909090909,1.1,1.1
2017,國泰金,0.869565217,1.15,1.15
2017,開發金,1.063829787,0.94,0.94
2017,玉山金,0.757575758,1.32,1.32
2017,元大金,1.282051282,0.78,0.78
2017,兆豐金,0.909090909,1.1,1.1
2017,台新金,1.098901099,0.91,0.91
2017,中信金,0.735294118,1.36,1.36
2017,第一金,0.8,1.25,1.25
2017,統一超,0.097751711,10.23,10.23
2017,大立光,0.15600624,6.41,6.41
2017,聯詠,0.395256917,2.53,2.53
2017,欣興,1.666666667,0.6,0.6
2017,台灣大,0.15600624,6.41,6.41
2017,遠傳,0.281690141,3.55,3.55
2017,中租-KY,0.381679389,2.62,2.62
2017,合庫金,0.980392157,1.02,1.02
2017,矽力*-KY,0.168350168,5.94,5.94
2017,台塑化,0.292397661,3.42,3.42
2017,南電,1.851851852,0.54,0.54
2017,豐泰,0.140252454,7.13,7.13
2018,台泥,0.934579439,1.07,1.07
2018,統一,0.261096606,3.83,3.83
2018,台塑,0.571428571,1.75,1.75
2018,南亞,0.636942675,1.57,1.57
2018,台化,0.632911392,1.58,1.58
2018,亞德客-KY,0.286532951,3.49,3.49
2018,中鋼,0.819672131,1.22,1.22
2018,和泰車,0.341296928,2.93,2.93
2018,聯電,1.515151515,0.66,0.66
2018,台達電,0.367647059,2.72,2.72
2018,鴻海,1.176470588,0.85,0.85
2018,國巨,0.408163265,2.45,2.45
2018,台積電,0.269541779,3.71,3.71
2018,華碩,1.136363636,0.88,0.88
2018,瑞昱,0.323624595,3.09,3.09
2018,廣達,0.64516129,1.55,1.55
2018,研華,0.189393939,5.28,5.28
2018,南亞科,0.934579439,1.07,1.07
2018,友達,1.694915254,0.59,0.59
2018,中華電,0.420168067,2.38,2.38
2018,聯發科,0.740740741,1.35,1.35
2018,長榮,1.162790698,0.86,0.86
2018,陽明,0.970873786,1.03,1.03
2018,萬海,0.961538462,1.04,1.04
2018,彰銀,0.917431193,1.09,1.09
2018,華南金,0.854700855,1.17,1.17
2018,富邦金,1.075268817,0.93,0.93
2018,國泰金,1.020408163,0.98,0.98
2018,開發金,1.136363636,0.88,0.88
2018,玉山金,0.71942446,1.39,1.39
2018,元大金,1.204819277,0.83,0.83
2018,兆豐金,0.877192982,1.14,1.14
2018,台新金,1.162790698,0.86,0.86
2018,中信金,0.81300813,1.23,1.23
2018,第一金,0.826446281,1.21,1.21
2018,統一超,0.102145046,9.79,9.79
2018,大立光,0.234192037,4.27,4.27
2018,聯詠,0.330033003,3.03,3.03
2018,欣興,1.25,0.8,0.8
2018,台灣大,0.160771704,6.22,6.22
2018,日月光投控,0.78125,1.28,1.28
2018,遠傳,0.288184438,3.47,3.47
2018,中租-KY,0.462962963,2.16,2.16
2018,上海商銀,0.775193798,1.29,1.29
2018,合庫金,0.934579439,1.07,1.07
2018,矽力*-KY,0.297619048,3.36,3.36
2018,台塑化,0.334448161,2.99,2.99
2018,南電,1.351351351,0.74,0.74
2018,豐泰,0.121065375,8.26,8.26
2019,台泥,0.769230769,1.3,1.3
2019,統一,0.253807107,3.94,3.94
2019,台塑,0.552486188,1.81,1.81
2019,南亞,0.598802395,1.67,1.67
2019,台化,0.689655172,1.45,1.45
2019,亞德客-KY,0.198412698,5.04,5.04
2019,中鋼,0.819672131,1.22,1.22
2019,和泰車,0.141643059,7.06,7.06
2019,聯電,1.063829787,0.94,0.94
2019,台達電,0.350877193,2.85,2.85
2019,鴻海,0.961538462,1.04,1.04
2019,國巨,0.240963855,4.15,4.15
2019,台積電,0.184842884,5.41,5.41
2019,華碩,0.970873786,1.03,1.03
2019,瑞昱,0.223214286,4.48,4.48
2019,廣達,0.526315789,1.9,1.9
2019,研華,0.144092219,6.94,6.94
2019,南亞科,0.591715976,1.69,1.69
2019,友達,1.923076923,0.52,0.52
2019,中華電,0.429184549,2.33,2.33
2019,聯發科,0.440528634,2.27,2.27
2019,長榮,1.123595506,0.89,0.89
2019,陽明,0.862068966,1.16,1.16
2019,萬海,0.877192982,1.14,1.14
2019,彰銀,0.704225352,1.42,1.42
2019,華南金,0.694444444,1.44,1.44
2019,富邦金,1.219512195,0.82,0.82
2019,國泰金,1.282051282,0.78,0.78
2019,開發金,1.265822785,0.79,0.79
2019,玉山金,0.520833333,1.92,1.92
2019,元大金,0.970873786,1.03,1.03
2019,兆豐金,0.769230769,1.3,1.3
2019,台新金,1.136363636,0.88,0.88
2019,中信金,0.862068966,1.16,1.16
2019,第一金,0.729927007,1.37,1.37
2019,統一超,0.10989011,9.1,9.1
2019,大立光,0.17699115,5.65,5.65
2019,聯詠,0.234192037,4.27,4.27
2019,欣興,0.680272109,1.47,1.47
2019,台灣大,0.161290323,6.2,6.2
2019,日月光投控,0.558659218,1.79,1.79
2019,遠傳,0.288184438,3.47,3.47
2019,中租-KY,0.362318841,2.76,2.76
2019,上海商銀,0.617283951,1.62,1.62
2019,合庫金,0.806451613,1.24,1.24
2019,矽力*-KY,0.165016502,6.06,6.06
2019,台塑化,0.34965035,2.86,2.86
2019,南電,0.980392157,1.02,1.02
2019,豐泰,0.115207373,8.68,8.68
2020,台泥,0.775193798,1.29,1.29
2020,統一,0.288184438,3.47,3.47
2020,台塑,0.476190476,2.1,2.1
2020,南亞,0.552486188,1.81,1.81
2020,台化,0.606060606,1.65,1.65
2020,亞德客-KY,0.119904077,8.34,8.34
2020,中鋼,0.735294118,1.36,1.36
2020,和泰車,0.17211704,5.81,5.81
2020,聯電,0.364963504,2.74,2.74
2020,台達電,0.205761317,4.86,4.86
2020,鴻海,0.952380952,1.05,1.05
2020,國巨,0.25974026,3.85,3.85
2020,台積電,0.130039012,7.69,7.69
2020,華碩,0.99009901,1.01,1.01
2020,瑞昱,0.137741047,7.26,7.26
2020,廣達,0.438596491,2.28,2.28
2020,研華,0.119904077,8.34,8.34
2020,南亞科,0.571428571,1.75,1.75
2020,友達,1.265822785,0.79,0.79
2020,中華電,0.436681223,2.29,2.29
2020,聯發科,0.284900285,3.51,3.51
2020,長榮,0.403225806,2.48,2.48
2020,陽明,0.22675737,4.41,4.41
2020,萬海,0.314465409,3.18,3.18
2020,彰銀,0.877192982,1.14,1.14
2020,華南金,0.787401575,1.27,1.27
2020,富邦金,1.369863014,0.73,0.73
2020,國泰金,1.470588235,0.68,0.68
2020,開發金,1.333333333,0.75,0.75
2020,玉山金,0.549450549,1.82,1.82
2020,元大金,0.99009901,1.01,1.01
2020,兆豐金,0.787401575,1.27,1.27
2020,台新金,1.265822785,0.79,0.79
2020,中信金,0.970873786,1.03,1.03
2020,第一金,0.787401575,1.27,1.27
2020,統一超,0.12345679,8.1,8.1
2020,大立光,0.3125,3.2,3.2
2020,聯詠,0.157977883,6.33,6.33
2020,欣興,0.34965035,2.86,2.86
2020,台灣大,0.182481752,5.48,5.48
2020,日月光投控,0.581395349,1.72,1.72
2020,遠傳,0.327868852,3.05,3.05
2020,中租-KY,0.389105058,2.57,2.57
2020,上海商銀,0.826446281,1.21,1.21
2020,合庫金,0.833333333,1.2,1.2
2020,矽力*-KY,0.074794316,13.37,13.37
2020,台塑化,0.294117647,3.4,3.4
2020,南電,0.263852243,3.79,3.79
2020,豐泰,0.095419847,10.48,10.48
2021,台泥,0.684931507,1.46,1.46
2021,統一,0.289017341,3.46,3.46
2021,台塑,0.581395349,1.72,1.72
2021,南亞,0.588235294,1.7,1.7
2021,台化,0.819672131,1.22,1.22
2021,亞德客-KY,0.124688279,8.02,8.02
2021,中鋼,0.602409639,1.66,1.66
2021,和泰車,0.20746888,4.82,4.82
2021,聯電,0.317460317,3.15,3.15
2021,台達電,0.208333333,4.8,4.8
2021,鴻海,0.925925926,1.08,1.08
2021,國巨,0.315457413,3.17,3.17
2021,台積電,0.130208333,7.68,7.68
2021,華碩,0.775193798,1.29,1.29
2021,瑞昱,0.116686114,8.57,8.57
2021,廣達,0.408163265,2.45,2.45
2021,研華,0.114678899,8.72,8.72
2021,南亞科,0.689655172,1.45,1.45
2021,友達,1.041666667,0.96,0.96
2021,中華電,0.409836066,2.44,2.44
2021,聯發科,0.208768267,4.79,4.79
2021,長榮,0.327868852,3.05,3.05
2021,陽明,0.421940928,2.37,2.37
2021,萬海,0.228310502,4.38,4.38
2021,彰銀,0.943396226,1.06,1.06
2021,華南金,0.709219858,1.41,1.41
2021,富邦金,0.934579439,1.07,1.07
2021,國泰金,1.041666667,0.96,0.96
2021,開發金,0.740740741,1.35,1.35
2021,玉山金,0.505050505,1.98,1.98
2021,元大金,0.854700855,1.17,1.17
2021,兆豐金,0.67114094,1.49,1.49
2021,台新金,0.900900901,1.11,1.11
2021,中信金,0.819672131,1.22,1.22
2021,第一金,0.704225352,1.42,1.42
2021,統一超,0.111731844,8.95,8.95
2021,大立光,0.429184549,2.33,2.33
2021,聯詠,0.180831826,5.53,5.53
2021,欣興,0.162337662,6.16,6.16
2021,台灣大,0.177304965,5.64,5.64
2021,日月光投控,0.5,2,2
2021,遠傳,0.299401198,3.34,3.34
2021,中租-KY,0.27027027,3.7,3.7
2021,上海商銀,0.735294118,1.36,1.36
2021,合庫金,0.675675676,1.48,1.48
2021,矽力*-KY,0.046360686,21.57,21.57
2021,台塑化,0.380228137,2.63,2.63
2021,力積電,0.207039337,4.83,4.83
2021,南電,0.100200401,9.98,9.98
2021,豐泰,0.081366965,12.29,12.29
