,name,book_to_market,,Date
,第一金,1.57,,
,統一超,6.89,,
,大立光,6.97,,
,聯詠,2.46,,
,欣興,1.78,,
,台灣大,5.52,,
,遠傳,2.08,,
,台塑化,4.05,,
,南電,1.65,,
,豐泰,1.93,,
,台泥,1.9,,
,統一,2.47,,
,台塑,2.95,,
,南亞,2.55,,
,台化,2.67,,
,亞德客-KY,11.65,,
,中鋼,1.83,,
,和泰車,2.12,,
,聯電,0.89,,
,台達電,4,,
,鴻海,2.18,,
,國巨,1.05,,
,台積電,3.54,,
,華碩,1.56,,
,瑞昱,1.62,,
,廣達,2,,
,研華,3.74,,
,南亞科,1.78,,
,友達,0.72,,
,中華電,1.9,,
,聯發科,3.14,,
,長榮,1.28,,
,陽明,1.51,,
,萬海,1.48,,
,彰銀,1.86,,
,華南金,1.55,,
,富邦金,1.62,,
,國泰金,2.23,,
,開發金,1.03,,
,玉山金,1.42,,
,元大金,1.42,,
,兆豐金,1.41,,
,台新金,1.02,,
,中信金,1.66,,
,第一金,1.66,,
,統一超,8.29,,
,大立光,7.96,,
,聯詠,2.49,,
,欣興,1.67,,
,台灣大,5.89,,
,遠傳,2.05,,
,台塑化,4.22,,
,南電,1.76,,
,豐泰,1.97,,
,台泥,1.89,,
,統一,2.47,,
,台塑,2.77,,
,南亞,2.32,,
,台化,2.54,,
,亞德客-KY,14,,
,中鋼,1.77,,
,和泰車,2.24,,
,聯電,0.89,,
,台達電,3.57,,
,鴻海,2.02,,
,國巨,1.06,,
,台積電,3.7,,
,華碩,1.82,,
,瑞昱,1.83,,
,廣達,2.3,,
,研華,3.64,,
,南亞科,1.44,,
,友達,0.74,,
,中華電,1.95,,
,聯發科,3.18,,
,長榮,1.29,,
,陽明,1.55,,
,萬海,1.49,,
,彰銀,1.83,,
,華南金,1.52,,
,富邦金,1.61,,
,國泰金,2.17,,
,開發金,1.01,,
,玉山金,1.47,,
,元大金,1.41,,
,兆豐金,1.38,,
,台新金,1.04,,
,中信金,1.62,,
,第一金,1.54,,
,統一超,8.65,,
,大立光,8.26,,
,聯詠,2.79,,
,欣興,1.88,,
,台灣大,6.17,,
,遠傳,2.1,,
,台塑化,4.26,,
,南電,2.17,,
,豐泰,1.89,,
,台泥,1.58,,
,統一,2.51,,
,台塑,2.18,,
,南亞,1.99,,
,台化,2.04,,
,亞德客-KY,7.16,,
,中鋼,1.72,,
,和泰車,2.26,,
,聯電,0.84,,
,台達電,3.15,,
,鴻海,1.92,,
,國巨,0.88,,
,台積電,3.08,,
,華碩,1.65,,
,瑞昱,1.58,,
,廣達,2.27,,
,研華,3.43,,
,南亞科,1.39,,
,友達,0.68,,
,中華電,2.04,,
,聯發科,2.97,,
,長榮,1.05,,
,陽明,1.34,,
,萬海,1.44,,
,彰銀,1.65,,
,華南金,1.45,,
,富邦金,1.73,,
,國泰金,2.12,,
,開發金,1,,
,玉山金,1.37,,
,元大金,1.35,,
,兆豐金,1.36,,
,台新金,0.99,,
,中信金,1.49,,
,第一金,1.43,,
,統一超,7.98,,
,大立光,7,,
,聯詠,2.42,,
,欣興,1.74,,
,台灣大,5.46,,
,遠傳,2.04,,
,台塑化,3.62,,
,南電,2.01,,
,豐泰,1.7,,
,台泥,1.69,,
,統一,2.86,,
,台塑,2.28,,
,南亞,2.07,,
,台化,1.99,,
,亞德客-KY,7.02,,
,中鋼,1.57,,
,和泰車,2.95,,
,聯電,0.77,,
,台達電,3.05,,
,鴻海,1.77,,
,國巨,0.79,,
,台積電,3.07,,
,華碩,1.64,,
,瑞昱,1.5,,
,廣達,2.37,,
,研華,3.77,,
,南亞科,1.14,,
,友達,0.55,,
,中華電,2.06,,
,聯發科,2.46,,
,長榮,0.9,,
,陽明,1.13,,
,萬海,1.34,,
,彰銀,1.73,,
,華南金,1.47,,
,富邦金,1.84,,
,國泰金,2.1,,
,開發金,0.95,,
,玉山金,1.34,,
,元大金,1.4,,
,兆豐金,1.5,,
,台新金,0.95,,
,中信金,1.55,,
,第一金,1.71,,
,統一超,8.87,,
,大立光,7.38,,
,聯詠,2.11,,
,欣興,1.75,,
,台灣大,5.57,,
,遠傳,2.12,,
,台塑化,3.89,,
,南電,1.84,,
,豐泰,1.66,,
,台泥,1.43,,
,統一,2.74,,
,台塑,1.89,,
,南亞,1.8,,
,台化,1.68,,
,亞德客-KY,6.5,,
,中鋼,1.74,,
,和泰車,2.86,,
,聯電,0.67,,
,台達電,2.54,,
,鴻海,1.58,,
,國巨,0.62,,
,台積電,2.96,,
,華碩,1.73,,
,瑞昱,1.31,,
,廣達,1.96,,
,研華,3.23,,
,南亞科,0.9,,
,友達,0.48,,
,中華電,2.06,,
,聯發科,2.78,,
,長榮,0.85,,
,陽明,0.95,,
,萬海,1.13,,
,彰銀,1.63,,
,華南金,1.38,,
,富邦金,1.7,,
,國泰金,1.8,,
,開發金,0.82,,
,玉山金,1.37,,
,元大金,1.26,,
,兆豐金,1.41,,
,台新金,0.81,,
,中信金,1.41,,
,第一金,1.59,,
,統一超,8.89,,
,大立光,6.31,,
,聯詠,1.99,,
,欣興,1.43,,
,台灣大,5.52,,
,遠傳,2.06,,
,台塑化,3.03,,
,南電,1.82,,
,豐泰,1.54,,
,台泥,1.22,,
,統一,2.56,,
,台塑,1.72,,
,南亞,1.73,,
,台化,1.52,,
,亞德客-KY,5.49,,
,中鋼,1.65,,
,和泰車,2.7,,
,聯電,0.68,,
,台達電,2.17,,
,鴻海,1.49,,
,國巨,0.58,,
,台積電,2.99,,
,華碩,1.63,,
,瑞昱,1.5,,
,廣達,1.98,,
,研華,3.15,,
,南亞科,0.67,,
,友達,0.43,,
,中華電,2.09,,
,聯發科,3.22,,
,長榮,0.78,,
,陽明,0.81,,
,萬海,1.01,,
,彰銀,1.34,,
,華南金,1.27,,
,富邦金,1.32,,
,國泰金,1.71,,
,開發金,0.8,,
,玉山金,1.22,,
,元大金,1.15,,
,兆豐金,1.18,,
,台新金,0.74,,
,中信金,1.16,,
,第一金,1.41,,
,統一超,8.34,,
,大立光,5.46,,
,聯詠,1.87,,
,欣興,1.48,,
,台灣大,5.26,,
,遠傳,2.02,,
,台塑化,3.01,,
,南電,1.59,,
,豐泰,1.55,,
,台泥,1.44,,
,統一,2.79,,
,台塑,2.18,,
,南亞,1.99,,
,台化,1.91,,
,亞德客-KY,5.7,,
,中鋼,1.77,,
,和泰車,2.99,,
,聯電,0.84,,
,台達電,2.48,,
,鴻海,1.79,,
,國巨,0.61,,
,台積電,3.38,,
,華碩,1.55,,
,瑞昱,1.52,,
,廣達,2.19,,
,研華,3.34,,
,南亞科,0.76,,
,友達,0.49,,
,中華電,2.25,,
,聯發科,3.81,,
,長榮,0.9,,
,陽明,0.98,,
,萬海,1.19,,
,彰銀,1.46,,
